,Flag,nx,n_threads,Tempo,Resultado
0,nenhuma,512,1,5.14815,0.0402737
1,nenhuma,1024,1,21.2282,0.0578281
2,nenhuma,2048,1,110.25,0.0820855
3, -O3,512,1,2.34471,0.0402737
4, -O3,1024,1,10.3462,0.0578281
5, -O3,2048,1,51.925,0.0820855
6, -fopenmp,512,1,6.10644,0.0402737
7, -fopenmp,512,2,3.1849,0.0402737
8, -fopenmp,512,3,3.90232,0.0402737
9, -fopenmp,512,4,3.09723,0.0402737
10, -fopenmp,1024,1,25.6001,0.0578281
11, -fopenmp,1024,2,14.1421,0.0578281
12, -fopenmp,1024,3,19.1416,0.0578281
13, -fopenmp,1024,4,15.5618,0.0578281
14, -fopenmp,2048,1,146.689,0.0820855
15, -fopenmp,2048,2,77.2054,0.0820855
16, -fopenmp,2048,3,81.9296,0.0820855
17, -fopenmp,2048,4,70.743,0.0820855
18, -fopenmp -O3,512,1,3.01493,0.0402737
19, -fopenmp -O3,512,2,1.5256,0.0402737
20, -fopenmp -O3,512,3,1.12277,0.0402737
21, -fopenmp -O3,512,4,0.889131,0.0402737
22, -fopenmp -O3,1024,1,13.2512,0.0578281
23, -fopenmp -O3,1024,2,7.04319,0.0578281
24, -fopenmp -O3,1024,3,5.23183,0.0578281
25, -fopenmp -O3,1024,4,4.51688,0.0578282
26, -fopenmp -O3,2048,1,66.5821,0.0820855
27, -fopenmp -O3,2048,2,36.8151,0.0820855
28, -fopenmp -O3,2048,3,29.6036,0.0820855
29, -fopenmp -O3,2048,4,25.054,0.0820855
